Time,Amount,Balance,"Balance, USD",Price
2021-02-12 01:24:03+00:00,23604.0,"118,485.45835296 BTC","$5,715,190,258 @ $48,235.37",48235.37
2021-02-12 00:17:13+00:00,2000.0,"94,881.45835296 BTC","$4,570,148,912 @ $48,166.93",48166.93
2021-01-14 06:07:30+00:00,6450.18676802,"92,881.45831016 BTC","$3,508,523,269 @ $37,774.21",37774.21
2021-01-14 06:03:29+00:00,12000.0,"86,431.27154214 BTC","$3,264,872,591 @ $37,774.21",37774.21
2021-01-14 05:57:32+00:00,8000.0,"74,431.27154214 BTC","$2,811,582,128 @ $37,774.21",37774.21
2020-12-10 01:36:19+00:00,-31069.83479751,"66,431.2715312 BTC","$1,224,671,374 @ $18,435.16",18435.16
2020-12-01 05:23:52+00:00,4022.51322322,"97,501.10631871 BTC","$1,897,185,270 @ $19,458.09",19458.09
2020-12-01 05:18:12+00:00,6000.0,"93,478.59309549 BTC","$1,818,914,847 @ $19,458.09",19458.09
2020-11-27 20:44:31+00:00,2859.94852477,"87,478.59309549 BTC","$1,490,190,326 @ $17,034.91",17034.91
2020-11-27 20:36:22+00:00,10000.0,"84,618.64457072 BTC","$1,441,471,348 @ $17,034.91",17034.91
2020-11-05 14:27:17+00:00,10646.53012863,"74,618.64453192 BTC","$1,113,424,152 @ $14,921.53",14921.53
2020-11-03 01:32:21+00:00,-9464.16500878,"63,972.11440329 BTC","$869,648,234 @ $13,594.18",13594.18
2020-08-21 06:44:09+00:00,988.53264764,"73,436.27937695 BTC","$869,768,656 @ $11,843.86",11843.86
2020-08-18 12:45:44+00:00,8312.33269077,"72,447.74672384 BTC","$886,239,692 @ $12,232.81",12232.81
2020-08-18 12:40:48+00:00,2000.0,"64,135.41403307 BTC","$784,556,486 @ $12,232.81",12232.81
2020-07-29 10:31:53+00:00,10677.86020357,"62,135.41401666 BTC","$686,473,675 @ $11,048.03",11048.03
2020-07-09 16:27:42+00:00,10923.55388822,"51,457.55381309 BTC","$476,211,175 @ $9,254.45",9254.45
2020-06-02 02:34:50+00:00,10339.06424173,"40,533.99980629 BTC","$408,722,342 @ $10,083.44",10083.44
2020-05-06 13:05:27+00:00,10536.92712601,"30,194.93556456 BTC","$277,583,037 @ $9,193.03",9193.03
2020-05-01 10:06:34+00:00,10193.84282977,"19,658.00783855 BTC","$174,035,742 @ $8,853.17",8853.17
