Time,Amount,Balance,"Balance, USD",Price
2020-11-03 01:32:21+00:00,-9999.9730685,"141,451.59126183 BTC","$1,922,917,941 @ $13,594.18",13594.18
2020-11-02 20:18:27+00:00,-24004.242081099997,"151,451.56433033 BTC","$2,066,687,410 @ $13,645.86",13645.86
2020-11-02 15:24:59+00:00,-2046.2279699,"175,455.80641143 BTC","$2,372,449,710 @ $13,521.64",13521.64
2020-11-02 06:00:40+00:00,-10000.0241269,"177,502.03438133 BTC","$2,441,253,372 @ $13,753.38",13753.38
2020-10-28 02:01:33+00:00,-6000.0170163,"187,502.05850823 BTC","$2,592,038,054 @ $13,824.05",13824.05
2020-10-27 15:26:43+00:00,-10000.0283605,"193,502.07204446 BTC","$2,628,591,504 @ $13,584.31",13584.31
2020-10-26 09:25:58+00:00,-0.00129486,"203,502.10040496 BTC","$2,664,596,797 @ $13,093.71",13093.71
2020-10-19 02:27:31+00:00,-24000.0193788,"203,502.09411918 BTC","$2,331,243,396 @ $11,455.62",11455.62
2020-09-11 04:48:41+00:00,-10000.0262437,"227,502.11135902 BTC","$2,330,732,065 @ $10,244.88",10244.88
2020-09-04 08:24:25+00:00,-10000.025185299999,"237,502.13759272 BTC","$2,479,658,889 @ $10,440.58",10440.58
2020-08-28 09:17:35+00:00,-0.00065016,"247,502.16208225 BTC","$2,830,934,712 @ $11,438.02",11438.02
2020-08-14 16:27:00+00:00,-2000.00258857,"247,502.16240033 BTC","$2,925,700,431 @ $11,820.91",11820.91
2020-08-14 16:11:24+00:00,-1000.00170625,"249,502.1649889 BTC","$2,949,342,279 @ $11,820.91",11820.91
2020-08-14 15:40:11+00:00,-3000.00511875,"250,502.16669515 BTC","$2,956,156,917 @ $11,800.92",11800.92
2020-08-14 15:03:19+00:00,-2000.0034125,"253,502.1718139 BTC","$2,966,723,807 @ $11,702.95",11702.95
2020-05-25 08:18:56+00:00,-0.00062633,"255,502.15763891 BTC","$2,258,633,192 @ $8,839.98",8839.98
2020-05-11 08:31:56+00:00,-0.00062633,"255,502.15579623 BTC","$2,195,636,893 @ $8,593.42",8593.42
2019-11-29 07:16:08+00:00,1400.0,"255,502.14098481 BTC","$1,921,532,982 @ $7,520.61",7520.61
2019-11-29 06:47:55+00:00,2000.0,"254,102.14098481 BTC","$1,901,447,979 @ $7,483.01",7483.01
2019-11-29 06:41:45+00:00,2000.0,"252,102.14098481 BTC","$1,886,481,966 @ $7,483.01",7483.01
2019-11-29 06:27:14+00:00,5000.0,"250,102.14098481 BTC","$1,871,515,953 @ $7,483.01",7483.01
2019-11-29 06:07:47+00:00,1500.0,"245,102.14098481 BTC","$1,834,100,920 @ $7,483.01",7483.01
2019-11-29 06:04:05+00:00,2500.0,"243,602.14098481 BTC","$1,820,399,684 @ $7,472.84",7472.84
2019-11-27 11:42:40+00:00,3000.0,"241,102.14098481 BTC","$1,742,875,009 @ $7,228.78",7228.78
2019-11-27 11:31:46+00:00,5000.0,"238,102.14098481 BTC","$1,721,188,660 @ $7,228.78",7228.78
2019-11-27 11:21:42+00:00,1000.0,"233,102.14098481 BTC","$1,685,044,746 @ $7,228.78",7228.78
2019-11-27 11:18:57+00:00,1000.0,"232,102.14098481 BTC","$1,677,815,964 @ $7,228.78",7228.78
2019-11-27 11:13:52+00:00,5000.0,"231,102.14098481 BTC","$1,670,587,181 @ $7,228.78",7228.78
2019-11-22 11:03:51+00:00,2000.0,"226,102.14098481 BTC","$1,615,335,633 @ $7,144.27",7144.27
2019-11-22 10:37:18+00:00,2000.0,"224,102.14098481 BTC","$1,598,659,196 @ $7,133.62",7133.62
2019-11-22 10:32:09+00:00,4000.0,"222,102.14098481 BTC","$1,584,391,959 @ $7,133.62",7133.62
