Time,Amount,Balance,"Balance, USD",Price
2021-02-19 18:36:36+00:00,-600.00163,"42,201.87482733 BTC","$2,324,090,261 @ $55,070.78",55070.78
2021-01-19 19:20:06+00:00,-1000.0018,"42,801.87645733 BTC","$1,558,199,445 @ $36,404.93",36404.93
2021-01-07 22:36:04+00:00,-1000.0018,"43,801.87824733 BTC","$1,716,963,729 @ $39,198.4",39198.4
2021-01-03 22:13:48+00:00,-2000.0018,"44,801.87954733 BTC","$1,492,242,952 @ $33,307.6",33307.6
2020-12-17 20:10:06+00:00,-2700.00214,"46,801.88134733 BTC","$1,059,886,870 @ $22,646.24",22646.24
2020-12-04 20:50:37+00:00,-1500.00214,"49,501.88348733 BTC","$937,038,803 @ $18,929.36",18929.36
2020-11-30 22:05:08+00:00,-1000.0018,"51,001.88562733 BTC","$987,547,989 @ $19,362.97",19362.97
2020-11-18 23:17:31+00:00,-1000.0018,"52,001.88742733 BTC","$921,410,090 @ $17,718.78",17718.78
2020-11-04 19:53:31+00:00,-1300.00197,"53,001.88921845 BTC","$746,076,111 @ $14,076.41",14076.41
2020-10-20 18:46:01+00:00,-1500.00214,"54,301.89118845 BTC","$649,261,552 @ $11,956.52",11956.52
2020-10-05 22:16:53+00:00,-1000.0018,"55,801.89332845 BTC","$600,312,174 @ $10,757.92",10757.92
2020-09-24 17:50:22+00:00,-500.00145999999995,"56,801.89512845 BTC","$606,053,303 @ $10,669.6",10669.6
2020-08-08 01:10:31+00:00,-2500.00197,"57,301.89657204 BTC","$666,206,704 @ $11,626.26",11626.26
2020-06-24 18:19:47+00:00,-1500.00219,"59,801.89799924 BTC","$557,795,305 @ $9,327.38",9327.38
2020-02-20 20:38:19+00:00,-500.00129000000004,"61,301.89790738 BTC","$588,423,089 @ $9,598.77",9598.77
2020-02-10 22:23:52+00:00,-1832.00231,"61,801.89918072 BTC","$610,803,421 @ $9,883.25",9883.25
2020-02-04 21:49:03+00:00,-1000.0018,"63,633.90149072 BTC","$584,300,904 @ $9,182.23",9182.23
2020-01-14 22:56:50+00:00,-1000.0018,"64,633.90329072 BTC","$570,597,968 @ $8,828.15",8828.15
2019-12-30 00:37:07+00:00,-1000.00146,"65,633.90459072 BTC","$485,835,055 @ $7,402.2",7402.2
2019-10-28 21:30:44+00:00,-48671.00129,"66,633.90578099 BTC","$629,965,760 @ $9,454.13",9454.13
2019-10-26 19:23:14+00:00,-2000.0018,"115,304.90707099 BTC","$1,046,301,446 @ $9,074.21",9074.21
2019-10-17 21:34:42+00:00,-1500.00214,"117,304.90887099 BTC","$948,443,605 @ $8,085.28",8085.28
2019-09-26 18:07:51+00:00,-1000.0018,"118,804.91101099 BTC","$961,919,103 @ $8,096.63",8096.63
2019-09-11 19:38:53+00:00,-990.00146,"119,804.91281099 BTC","$1,211,200,748 @ $10,109.78",10109.78
2019-09-11 19:25:03+00:00,-10.00309,"120,794.91427099 BTC","$1,221,209,440 @ $10,109.78",10109.78
2019-05-23 21:56:53+00:00,-1000.00129,"120,804.90844874 BTC","$957,334,163 @ $7,924.63",7924.63
2019-05-16 21:41:40+00:00,-1000.00129,"121,804.9096909 BTC","$963,275,132 @ $7,908.34",7908.34
2019-05-16 21:19:27+00:00,-0.0031899999999999997,"122,804.9109809 BTC","$971,183,486 @ $7,908.34",7908.34
2019-05-07 20:45:12+00:00,-1500.00163,"122,804.91024052 BTC","$726,986,705 @ $5,919.85",5919.85
2019-05-06 21:24:49+00:00,-1500.001518,"124,304.91187052 BTC","$715,370,617 @ $5,754.97",5754.97
2019-04-19 22:41:12+00:00,-1200.001,"125,804.90936356 BTC","$664,310,187 @ $5,280.48",5280.48
2019-04-19 22:36:15+00:00,-1000.0010000000001,"127,004.91036356 BTC","$670,646,767 @ $5,280.48",5280.48
2019-04-19 21:52:25+00:00,-0.003,"128,004.91136356 BTC","$674,077,447 @ $5,266.03",5266.03
2019-03-02 07:13:28+00:00,-500.001,"128,004.91039976 BTC","$487,343,362 @ $3,807.22",3807.22
2019-03-02 07:05:43+00:00,-500.001,"128,504.91139976 BTC","$489,246,977 @ $3,807.22",3807.22
2019-03-02 06:47:33+00:00,-500.00070199999993,"129,004.91239976 BTC","$493,292,902 @ $3,823.83",3823.83
2019-03-02 06:19:24+00:00,-500.0005,"129,504.91310176 BTC","$495,204,820 @ $3,823.83",3823.83
2019-03-02 05:46:06+00:00,-0.0205,"130,004.91360176 BTC","$497,595,652 @ $3,827.51",3827.51
2019-03-02 02:25:43+00:00,-0.02002,"130,004.93410176 BTC","$498,978,948 @ $3,838.15",3838.15
2019-01-11 00:02:19+00:00,130004.85348151,"130,004.95348151 BTC","$475,823,191 @ $3,660.04",3660.04
2019-01-09 22:58:55+00:00,-0.0095,0 BTC,"$0 @ $4,016.22",4016.22
