Time,Amount,Balance,"Balance, USD",Price
2021-02-21 19:56:54+00:00,10001.0,"79,602.43653305 BTC","$4,621,370,655 @ $58,055.64",58055.64
2021-01-12 00:05:50+00:00,1001.0,"69,601.43651664 BTC","$2,433,529,065 @ $34,963.78",34963.78
2021-01-11 23:06:17+00:00,1001.0,"68,600.43651664 BTC","$2,398,502,464 @ $34,963.37",34963.37
2020-12-31 15:32:21+00:00,1001.0,"67,599.43651664 BTC","$1,940,546,357 @ $28,706.55",28706.55
2020-12-27 04:37:09+00:00,5002.0,"66,598.43651117 BTC","$1,783,064,309 @ $26,773.37",26773.37
2020-12-18 23:22:31+00:00,1400.0,"61,596.43651117 BTC","$1,420,523,575 @ $23,061.78",23061.78
2020-11-28 21:42:23+00:00,1001.0,"60,196.4365057 BTC","$1,068,502,513 @ $17,750.26",17750.26
2020-11-01 19:05:03+00:00,3001.0,"59,195.43648912 BTC","$818,214,899 @ $13,822.26",13822.26
2020-11-01 18:59:12+00:00,3001.0,"56,194.43648912 BTC","$776,771,290 @ $13,822.92",13822.92
2020-11-01 18:27:30+00:00,4951.0,"53,193.43648912 BTC","$735,288,702 @ $13,822.92",13822.92
2020-10-29 17:19:19+00:00,501.0,"48,242.43648912 BTC","$655,593,192 @ $13,589.55",13589.55
2020-10-29 16:39:32+00:00,1001.0,"47,741.43648912 BTC","$647,591,518 @ $13,564.56",13564.56
2020-10-28 23:03:24+00:00,501.0,"46,740.43648912 BTC","$621,253,558 @ $13,291.57",13291.57
2020-10-28 17:20:56+00:00,501.0,"46,239.43648912 BTC","$610,370,722 @ $13,200.22",13200.22
2020-10-27 22:51:20+00:00,501.0,"45,738.43648912 BTC","$628,147,076 @ $13,733.46",13733.46
2020-10-27 13:31:34+00:00,501.0,"45,237.43648912 BTC","$605,983,770 @ $13,395.63",13395.63
2020-10-21 21:36:38+00:00,501.0,"44,736.43648365 BTC","$581,352,104 @ $12,995.05",12995.05
2020-10-21 14:42:25+00:00,501.0,"44,235.43648365 BTC","$562,439,898 @ $12,714.69",12714.69
2020-10-20 19:13:42+00:00,501.0,"43,734.43648365 BTC","$521,166,788 @ $11,916.62",11916.62
2020-10-15 16:49:50+00:00,-5000.00146828,"43,233.43648365 BTC","$493,503,399 @ $11,414.85",11414.85
2020-10-14 15:55:30+00:00,-4999.90146828,"48,233.43795193 BTC","$547,382,682 @ $11,348.61",11348.61
2020-09-29 01:53:12+00:00,4900.0,"53,233.33941474 BTC","$569,517,608 @ $10,698.51",10698.51
2020-09-28 18:51:04+00:00,1300.0,"48,333.33941474 BTC","$525,301,318 @ $10,868.3",10868.3
2020-09-02 20:05:17+00:00,-2522.00316802,"47,033.3394038 BTC","$534,903,197 @ $11,372.85",11372.85
2020-04-28 20:28:03+00:00,501.0,"49,555.34239367 BTC","$383,184,870 @ $7,732.46",7732.46
