Time,Amount,Balance,"Balance, USD",Price
2021-02-09 17:03:50+00:00,3000.0,"36,000.87118743 BTC","$1,687,737,148 @ $46,880.45",46880.45
2021-02-09 16:57:05+00:00,2000.0,"33,000.87118743 BTC","$1,538,240,060 @ $46,612.1",46612.1
2021-02-09 16:29:43+00:00,12000.0,"31,000.87118743 BTC","$1,445,015,850 @ $46,612.1",46612.1
2021-02-09 16:14:31+00:00,9000.0,"19,000.87118743 BTC","$885,670,595 @ $46,612.1",46612.1
2021-02-09 16:02:44+00:00,4000.0,"10,000.87118743 BTC","$466,161,654 @ $46,612.1",46612.1
2021-02-09 15:55:59+00:00,5999.999,"6,000.87118743 BTC","$280,016,494 @ $46,662.64",46662.64
2020-11-03 05:58:09+00:00,-19999.1230685,0.87118196 BTC,"$11,674 @ $13,400.02",13400.02
2020-11-03 05:39:34+00:00,-17999.93076165,"19,999.99425046 BTC","$268,000,226 @ $13,400.02",13400.02
2020-11-02 19:06:28+00:00,-1999.99230685,"37,999.92501211 BTC","$517,502,404 @ $13,618.51",13618.51
2020-10-30 09:08:30+00:00,-0.00079748,"39,999.91731349 BTC","$531,176,426 @ $13,279.44",13279.44
2020-10-30 03:29:34+00:00,-0.0006426,"39,999.91811097 BTC","$538,227,262 @ $13,455.71",13455.71
2020-09-27 05:53:12+00:00,-0.00129486,"39,999.9187481 BTC","$430,918,154 @ $10,772.98",10772.98
2020-09-22 06:59:12+00:00,-20000.056721,"39,999.92002972 BTC","$416,887,396 @ $10,422.21",10422.21
2020-09-15 09:37:39+00:00,-10000.0283605,"59,999.97675072 BTC","$642,245,362 @ $10,704.09",10704.09
2020-07-28 04:28:05+00:00,-0.00032781,"70,000.0050784 BTC","$770,140,084 @ $11,002",11002.0
2020-05-25 10:39:31+00:00,-0.0003213,"70,000.00494352 BTC","$611,567,857 @ $8,736.68",8736.68
2020-05-25 08:56:33+00:00,-0.00030503,"70,000.00526482 BTC","$618,798,435 @ $8,839.98",8839.98
2020-05-15 13:34:32+00:00,-0.00062633,"70,000.00556985 BTC","$670,893,907 @ $9,584.2",9584.2
2020-05-11 08:31:56+00:00,-0.00062633,"70,000.00616888 BTC","$601,539,332 @ $8,593.42",8593.42
2020-03-26 11:17:36+00:00,1000.0,"70,000.00426303 BTC","$463,290,430 @ $6,618.43",6618.43
2020-03-26 11:06:12+00:00,2000.0,"69,000.00426303 BTC","$456,671,996 @ $6,618.43",6618.43
2020-03-26 11:01:16+00:00,1999.999,"67,000.00426303 BTC","$445,156,675 @ $6,644.13",6644.13
2020-03-24 10:46:31+00:00,1000.0,"65,000.00322232 BTC","$435,317,756 @ $6,697.2",6697.2
2020-03-24 10:14:30+00:00,6000.0,"64,000.00322232 BTC","$428,620,560 @ $6,697.2",6697.2
2020-03-24 09:58:09+00:00,7999.999,"58,000.00322232 BTC","$390,846,456 @ $6,738.73",6738.73
2020-03-23 11:05:30+00:00,5000.0,"50,000.00322232 BTC","$304,301,238 @ $6,086.02",6086.02
2020-03-23 10:37:03+00:00,6999.999,"45,000.00322232 BTC","$264,274,757 @ $5,872.77",5872.77
2020-03-23 10:19:07+00:00,3000.0009999999997,"38,000.00422232 BTC","$223,165,359 @ $5,872.77",5872.77
2020-03-20 11:59:19+00:00,5000.0,"35,000.00322232 BTC","$231,907,247 @ $6,625.92",6625.92
2020-03-20 11:51:03+00:00,1000.0,"30,000.00322232 BTC","$198,777,644 @ $6,625.92",6625.92
2020-03-20 11:27:24+00:00,3000.0,"29,000.00322232 BTC","$192,151,723 @ $6,625.92",6625.92
2020-03-20 11:20:45+00:00,1500.0,"26,000.00322232 BTC","$172,273,961 @ $6,625.92",6625.92
2020-03-20 11:16:55+00:00,3500.0,"24,500.00322232 BTC","$162,335,079 @ $6,625.92",6625.92
2020-03-20 11:08:59+00:00,999.9989999999999,"21,000.00322232 BTC","$139,144,357 @ $6,625.92",6625.92
2020-03-20 07:44:20+00:00,-0.00690415,"20,000.00322232 BTC","$129,806,473 @ $6,490.32",6490.32
2020-03-19 10:55:23+00:00,1000.0,"20,000.01012647 BTC","$109,599,301 @ $5,479.96",5479.96
2020-03-19 10:50:41+00:00,1000.0,"19,000.01012647 BTC","$104,119,339 @ $5,479.96",5479.96
2020-03-19 10:47:54+00:00,2000.0,"18,000.01012647 BTC","$98,639,376 @ $5,479.96",5479.96
2020-03-19 10:42:22+00:00,3000.0,"16,000.01012647 BTC","$87,679,452 @ $5,479.96",5479.96
2020-03-19 10:39:11+00:00,1000.0,"13,000.01012647 BTC","$71,239,565 @ $5,479.96",5479.96
2020-03-19 10:27:11+00:00,1000.0010000000001,"12,000.01012647 BTC","$65,759,603 @ $5,479.96",5479.96
2020-03-19 10:22:51+00:00,3000.0,"11,000.00912647 BTC","$60,279,635 @ $5,479.96",5479.96
2020-03-19 10:17:36+00:00,2999.9990000000003,"8,000.00912647 BTC","$43,839,748 @ $5,479.96",5479.96
2020-03-11 11:43:53+00:00,5000.0,"5,000.01012647 BTC","$39,205,236 @ $7,841.03",7841.03
2019-10-16 02:02:57+00:00,-0.0003213,0.00812647 BTC,"$66 @ $8,182.03",8182.03
2019-10-16 01:52:51+00:00,-0.00030503,0.00844777 BTC,"$69 @ $8,182.03",8182.03
2019-10-14 08:45:08+00:00,-0.00062633,0.0087528 BTC,"$73 @ $8,325.97",8325.97
2019-10-12 07:32:45+00:00,-0.0003213,0.00937913 BTC,"$78 @ $8,358.16",8358.16
2019-10-11 03:51:24+00:00,-0.00030503,0.00970043 BTC,"$83 @ $8,576.78",8576.78
