Time,Amount,Balance,"Balance, USD",Price
2021-02-23 23:32:06+00:00,1100.0,"92,366.64789447 BTC","$4,436,263,533 @ $48,028.85",48028.85
2021-02-23 23:20:28+00:00,1200.0,"91,266.64789447 BTC","$4,383,431,802 @ $48,028.85",48028.85
2021-02-23 23:15:58+00:00,600.0,"90,066.64789447 BTC","$4,325,797,186 @ $48,028.85",48028.85
2021-02-19 16:34:06+00:00,505.0,"89,466.64789447 BTC","$4,875,094,530 @ $54,490.64",54490.64
2021-02-19 01:34:29+00:00,484.0,"88,961.64789447 BTC","$4,545,650,914 @ $51,096.75",51096.75
2021-02-19 01:25:20+00:00,585.0,"88,477.64789447 BTC","$4,520,920,088 @ $51,096.75",51096.75
2021-02-19 01:20:27+00:00,686.0,"87,892.64789447 BTC","$4,491,028,490 @ $51,096.75",51096.75
2021-02-18 02:01:49+00:00,660.0,"87,206.64789447 BTC","$4,549,974,329 @ $52,174.63",52174.63
2021-02-18 01:31:24+00:00,1888.0,"86,546.64789447 BTC","$4,515,539,076 @ $52,174.63",52174.63
2021-02-18 01:11:45+00:00,560.0,"84,658.64789447 BTC","$4,417,033,380 @ $52,174.63",52174.63
2021-02-08 19:21:06+00:00,-1500.005,"84,098.622889 BTC","$3,709,295,982 @ $44,106.5",44106.5
2021-02-04 18:19:22+00:00,-1500.005,"85,598.627889 BTC","$3,183,443,158 @ $37,190.35",37190.35
2021-01-29 22:24:43+00:00,-3000.01,"87,098.632889 BTC","$2,970,239,488 @ $34,102.02",34102.02
2021-01-29 18:06:10+00:00,-6000.005,"90,098.642889 BTC","$3,128,278,019 @ $34,720.59",34720.59
2021-01-29 14:29:27+00:00,-700.002,"96,098.647889 BTC","$3,586,468,648 @ $37,320.7",37320.7
2021-01-29 02:07:32+00:00,-1500.001,"96,798.64988353 BTC","$3,289,496,869 @ $33,982.88",33982.88
2021-01-28 10:07:54+00:00,-1500.001,"98,298.65088353 BTC","$3,072,763,993 @ $31,259.47",31259.47
2021-01-22 01:10:12+00:00,277.0,"99,798.65138353 BTC","$3,025,090,157 @ $30,311.93",30311.93
2021-01-22 00:36:34+00:00,307.0,"99,521.65138353 BTC","$2,940,212,986 @ $29,543.45",29543.45
2021-01-22 00:15:12+00:00,889.0,"99,214.65138353 BTC","$2,931,143,146 @ $29,543.45",29543.45
2021-01-21 00:46:53+00:00,760.0,"98,325.65138353 BTC","$3,441,663,712 @ $35,002.7",35002.7
2021-01-21 00:36:19+00:00,885.0,"97,565.65138353 BTC","$3,415,061,656 @ $35,002.7",35002.7
2021-01-20 02:50:15+00:00,279.0,"96,680.65138353 BTC","$3,447,950,484 @ $35,663.29",35663.29
2021-01-20 01:35:56+00:00,400.0,"96,401.65138353 BTC","$3,468,619,499 @ $35,980.91",35980.91
2021-01-20 01:23:18+00:00,350.0,"96,001.65138353 BTC","$3,454,227,133 @ $35,980.91",35980.91
2021-01-20 01:05:48+00:00,300.0,"95,651.65138353 BTC","$3,441,633,813 @ $35,980.91",35980.91
2021-01-15 00:40:49+00:00,255.0,"95,351.6512369 BTC","$3,762,645,521 @ $39,460.73",39460.73
2021-01-14 22:21:42+00:00,281.0,"95,096.6511369 BTC","$3,704,076,155 @ $38,950.65",38950.65
2021-01-14 21:35:26+00:00,557.0,"94,815.6511369 BTC","$3,661,636,720 @ $38,618.48",38618.48
2021-01-11 20:02:49+00:00,-1500.001,"94,258.6511369 BTC","$3,020,358,991 @ $32,043.31",32043.31
2021-01-11 19:53:47+00:00,-1500.001,"95,758.6521369 BTC","$3,068,423,985 @ $32,043.31",32043.31
2021-01-11 18:03:31+00:00,-1500.001,"97,258.6531369 BTC","$3,201,035,894 @ $32,912.61",32912.61
2021-01-09 00:36:39+00:00,630.0,"98,758.65411129 BTC","$3,957,105,857 @ $40,068.45",40068.45
2021-01-09 00:15:06+00:00,480.0,"98,128.65411129 BTC","$3,931,862,735 @ $40,068.45",40068.45
2021-01-08 23:52:28+00:00,540.0,"97,648.65411129 BTC","$3,981,405,346 @ $40,772.76",40772.76
2021-01-08 23:40:35+00:00,150.0,"97,108.65411129 BTC","$3,959,388,055 @ $40,772.76",40772.76
2021-01-08 01:06:25+00:00,732.0,"96,958.65411129 BTC","$3,752,658,366 @ $38,703.7",38703.7
2021-01-08 00:56:06+00:00,315.0,"96,226.65411129 BTC","$3,724,327,260 @ $38,703.7",38703.7
2021-01-08 00:48:53+00:00,919.0,"95,911.65411129 BTC","$3,712,135,596 @ $38,703.7",38703.7
2021-01-07 23:39:31+00:00,506.0,"94,992.65403394 BTC","$3,748,836,324 @ $39,464.49",39464.49
2021-01-07 23:21:29+00:00,160.0,"94,486.65403394 BTC","$3,728,867,294 @ $39,464.49",39464.49
2021-01-07 23:01:00+00:00,275.0,"94,326.65403394 BTC","$3,697,454,314 @ $39,198.4",39198.4
2021-01-07 22:51:08+00:00,1380.0,"94,051.65403394 BTC","$3,686,674,753 @ $39,198.4",39198.4
2021-01-07 22:36:04+00:00,905.0,"92,671.65403394 BTC","$3,632,580,955 @ $39,198.4",39198.4
2021-01-07 22:26:35+00:00,1310.0,"91,766.65403394 BTC","$3,597,106,399 @ $39,198.4",39198.4
2021-01-07 00:01:04+00:00,800.0,"90,456.65400849 BTC","$3,344,024,677 @ $36,968.26",36968.26
2021-01-05 03:51:15+00:00,490.0,"89,656.65400849 BTC","$2,807,297,880 @ $31,311.65",31311.65
2021-01-05 03:30:38+00:00,555.0,"89,166.65400849 BTC","$2,791,955,171 @ $31,311.65",31311.65
2021-01-05 03:10:24+00:00,1701.0,"88,611.65400849 BTC","$2,774,577,205 @ $31,311.65",31311.65
2021-01-04 23:48:14+00:00,615.0,"86,910.65400849 BTC","$2,808,297,927 @ $32,312.47",32312.47
2021-01-04 23:21:50+00:00,610.0,"86,295.65400849 BTC","$2,788,425,757 @ $32,312.47",32312.47
2021-01-04 23:12:56+00:00,605.0,"85,685.65400849 BTC","$2,768,715,150 @ $32,312.47",32312.47
2021-01-04 23:02:49+00:00,400.0,"85,080.65400849 BTC","$2,749,166,106 @ $32,312.47",32312.47
2021-01-03 01:30:44+00:00,306.0,"84,680.65396079 BTC","$2,772,282,593 @ $32,738.09",32738.09
2021-01-03 01:14:41+00:00,275.0,"84,374.65396079 BTC","$2,762,264,738 @ $32,738.09",32738.09
2021-01-01 01:06:53+00:00,276.0,"84,099.65392675 BTC","$2,470,452,359 @ $29,375.3",29375.3
2020-12-31 21:32:35+00:00,300.0,"83,823.65392675 BTC","$2,436,411,982 @ $29,065.92",29065.92
2020-12-31 19:44:13+00:00,280.0,"83,523.65392675 BTC","$2,418,372,700 @ $28,954.35",28954.35
2020-12-31 19:22:13+00:00,265.0,"83,243.65392675 BTC","$2,410,265,484 @ $28,954.35",28954.35
2020-12-31 03:38:49+00:00,270.0,"82,978.65392128 BTC","$2,410,160,923 @ $29,045.55",29045.55
2020-12-31 00:46:58+00:00,260.0,"82,708.65392128 BTC","$2,390,597,629 @ $28,903.84",28903.84
2020-12-31 00:25:03+00:00,250.0,"82,448.65392128 BTC","$2,383,082,631 @ $28,903.84",28903.84
2020-12-30 18:43:53+00:00,500.0,"82,198.65392128 BTC","$2,356,741,884 @ $28,671.3",28671.3
2020-12-30 05:16:41+00:00,986.0,"81,698.65392128 BTC","$2,297,834,788 @ $28,125.74",28125.74
2020-12-29 02:29:42+00:00,1582.0,"80,712.65392128 BTC","$2,157,364,757 @ $26,728.95",26728.95
2020-12-28 03:58:51+00:00,936.0,"79,130.65392128 BTC","$2,144,917,183 @ $27,106.02",27106.02
2020-12-22 02:50:21+00:00,2417.0,"78,194.65392128 BTC","$1,787,966,175 @ $22,865.58",22865.58
2020-12-21 08:56:41+00:00,-1.00188902,"75,777.65392128 BTC","$1,793,317,204 @ $23,665.51",23665.51
2020-12-19 01:10:46+00:00,13.0,"75,778.6558103 BTC","$1,749,310,970 @ $23,084.48",23084.48
2020-12-18 19:40:32+00:00,1.00063394,"75,765.6558103 BTC","$1,723,138,050 @ $22,743",22743.0
2020-12-18 01:31:03+00:00,1357.0,"75,764.65517636 BTC","$1,750,726,460 @ $23,107.43",23107.43
2020-12-13 01:06:19+00:00,31.0,"74,407.65507636 BTC","$1,397,754,308 @ $18,785.09",18785.09
2020-12-12 01:05:38+00:00,1579.0,"74,376.65507636 BTC","$1,361,689,322 @ $18,308.02",18308.02
2020-12-09 02:02:38+00:00,500.0,"72,797.65507636 BTC","$1,326,923,259 @ $18,227.55",18227.55
2020-12-08 20:28:24+00:00,500.0,"72,297.65507089 BTC","$1,356,125,439 @ $18,757.53",18757.53
2020-12-08 01:34:29+00:00,500.0,"71,797.65506089 BTC","$1,378,542,399 @ $19,200.38",19200.38
2020-12-06 01:27:21+00:00,92.0,"71,297.65506089 BTC","$1,372,711,628 @ $19,253.25",19253.25
2020-12-05 01:07:46+00:00,246.0,"71,205.65506089 BTC","$1,335,626,037 @ $18,757.3",18757.3
2020-12-03 23:39:08+00:00,500.0,"70,959.65506089 BTC","$1,381,462,845 @ $19,468.29",19468.29
2020-11-30 01:15:09+00:00,114.0,"70,459.65506089 BTC","$1,303,892,897 @ $18,505.52",18505.52
2020-11-29 01:19:46+00:00,298.0,"70,345.65506089 BTC","$1,241,100,902 @ $17,642.89",17642.89
2020-11-27 01:53:40+00:00,63.0,"70,047.65506089 BTC","$1,208,537,566 @ $17,253.08",17253.08
2020-11-26 17:55:52+00:00,500.0,"69,984.65506089 BTC","$1,168,862,745 @ $16,701.7",16701.7
2020-11-26 01:26:36+00:00,500.0,"69,484.65506089 BTC","$1,295,887,488 @ $18,649.98",18649.98
2020-11-26 01:04:35+00:00,49.0,"68,984.65506089 BTC","$1,298,961,094 @ $18,829.71",18829.71
2020-11-25 22:13:26+00:00,500.0,"68,935.65506089 BTC","$1,295,733,102 @ $18,796.27",18796.27
2020-11-24 22:38:31+00:00,500.0,"68,435.65506089 BTC","$1,309,441,675 @ $19,133.91",19133.91
2020-11-24 01:55:10+00:00,257.0,"67,935.65506089 BTC","$1,251,851,340 @ $18,427.02",18427.02
2020-11-23 01:42:54+00:00,634.0,"67,678.65506089 BTC","$1,236,301,927 @ $18,267.24",18267.24
2020-11-22 01:04:10+00:00,791.0,"67,044.65506089 BTC","$1,241,810,545 @ $18,522.14",18522.14
2020-11-21 01:03:11+00:00,341.0,"66,253.65506089 BTC","$1,247,973,622 @ $18,836.3",18836.3
2020-11-20 01:23:37+00:00,114.0,"65,912.65506089 BTC","$1,183,968,892 @ $17,962.69",17962.69
2020-11-19 01:29:34+00:00,500.0,"65,798.65506089 BTC","$1,181,151,484 @ $17,951",17951.0
2020-11-19 01:10:15+00:00,1159.0,"65,298.65506089 BTC","$1,172,175,985 @ $17,951",17951.0
2020-11-18 01:07:54+00:00,1734.0,"64,139.65506089 BTC","$1,134,786,747 @ $17,692.44",17692.44
2020-11-17 01:07:28+00:00,146.0,"62,405.65506089 BTC","$1,042,738,058 @ $16,709.03",16709.03
2020-11-15 07:09:13+00:00,606.0,"62,259.65506089 BTC","$1,001,530,597 @ $16,086.35",16086.35
2020-11-14 01:09:43+00:00,355.0,"61,653.65505542 BTC","$1,001,622,132 @ $16,245.95",16245.95
2020-11-09 01:29:08+00:00,30.0,"61,298.65505542 BTC","$951,843,284 @ $15,527.96",15527.96
2020-11-08 01:15:33+00:00,272.0,"61,268.65505542 BTC","$923,016,411 @ $15,065.07",15065.07
2020-11-07 01:28:06+00:00,703.0,"60,996.65505542 BTC","$955,198,407 @ $15,659.85",15659.85
2020-11-06 01:26:15+00:00,733.0,"60,293.65502209 BTC","$951,288,712 @ $15,777.59",15777.59
2020-11-03 01:15:07+00:00,285.0,"59,560.65502209 BTC","$809,678,075 @ $13,594.18",13594.18
2020-11-02 00:14:51+00:00,144.0,"59,275.65502209 BTC","$818,331,594 @ $13,805.53",13805.53
2020-10-31 00:14:47+00:00,44.0,"59,131.65502209 BTC","$805,900,631 @ $13,628.92",13628.92
2020-10-30 15:14:08+00:00,262.0,"59,087.65502209 BTC","$799,554,872 @ $13,531.67",13531.67
2020-09-09 00:02:47+00:00,2057.0,"58,825.65494971 BTC","$595,010,635 @ $10,114.82",10114.82
2020-08-30 00:03:48+00:00,59.0,"56,768.65494424 BTC","$654,968,323 @ $11,537.5",11537.5
2020-08-28 00:08:52+00:00,43.0,"56,709.65494424 BTC","$644,164,755 @ $11,359",11359.0
2020-08-27 00:04:08+00:00,140.0,"56,666.65493314 BTC","$650,243,417 @ $11,474.89",11474.89
2020-08-24 14:40:57+00:00,19.0,"56,526.65493314 BTC","$664,343,033 @ $11,752.74",11752.74
2020-08-23 00:25:02+00:00,357.0,"56,507.65493314 BTC","$657,805,304 @ $11,640.99",11640.99
2020-08-22 00:04:10+00:00,89.0,"56,150.65493314 BTC","$644,314,369 @ $11,474.74",11474.74
2020-08-21 00:19:02+00:00,52.0,"56,061.65493314 BTC","$663,298,498 @ $11,831.59",11831.59
2020-08-20 01:01:11+00:00,745.0,"56,009.65493314 BTC","$660,389,304 @ $11,790.63",11790.63
2020-08-19 00:10:10+00:00,715.0,"55,264.6549222 BTC","$663,254,198 @ $12,001.42",12001.42
2020-08-18 00:16:09+00:00,549.0,"54,549.6549222 BTC","$674,106,732 @ $12,357.67",12357.67
2020-08-10 00:02:26+00:00,214.0,"54,000.65491673 BTC","$635,357,948 @ $11,765.75",11765.75
2020-08-09 00:17:13+00:00,178.0,"53,786.65491673 BTC","$631,930,905 @ $11,748.84",11748.84
2020-08-07 00:23:20+00:00,21.0,"53,608.65491126 BTC","$634,027,266 @ $11,826.96",11826.96
2020-08-05 00:13:14+00:00,209.0,"53,587.65491126 BTC","$598,658,414 @ $11,171.57",11171.57
2020-08-04 00:06:20+00:00,866.0,"53,378.65490579 BTC","$606,897,241 @ $11,369.66",11369.66
2020-08-03 00:07:00+00:00,31.0,"52,512.65490579 BTC","$585,251,442 @ $11,144.96",11144.96
2020-07-23 17:56:04+00:00,-1500.001,"52,481.65490579 BTC","$504,717,759 @ $9,617.03",9617.03
2020-07-14 13:17:25+00:00,-1500.001,"53,981.65557246 BTC","$498,430,632 @ $9,233.33",9233.33
2020-06-08 23:27:37+00:00,-1500.001,"55,481.65646276 BTC","$542,042,355 @ $9,769.76",9769.76
2020-05-26 21:30:49+00:00,117.0,"56,981.65746276 BTC","$503,977,129 @ $8,844.55",8844.55
2020-05-25 20:09:05+00:00,486.0,"56,864.65746276 BTC","$506,538,112 @ $8,907.78",8907.78
2020-05-13 20:14:36+00:00,34.0,"56,378.65746276 BTC","$524,841,246 @ $9,309.22",9309.22
2020-05-12 20:21:15+00:00,2021.0,"56,344.65746276 BTC","$497,181,259 @ $8,823.93",8823.93
2020-05-11 20:30:36+00:00,438.0,"54,323.65746276 BTC","$468,998,473 @ $8,633.41",8633.41
2020-05-10 20:46:11+00:00,1743.0,"53,885.65746276 BTC","$469,835,507 @ $8,719.12",8719.12
2020-05-09 20:29:31+00:00,2864.0,"52,142.65746276 BTC","$501,643,814 @ $9,620.6",9620.6
2020-05-08 20:14:03+00:00,666.0,"49,278.65746276 BTC","$491,795,264 @ $9,979.88",9979.88
2020-05-04 20:26:06+00:00,855.0,"48,612.65746276 BTC","$433,194,019 @ $8,911.14",8911.14
2020-05-03 20:43:45+00:00,480.0,"47,757.65746276 BTC","$423,029,894 @ $8,857.84",8857.84
2020-05-01 20:29:13+00:00,945.0,"47,277.65746276 BTC","$413,673,314 @ $8,749.87",8749.87
2020-04-30 20:04:37+00:00,19.0,"46,332.65746276 BTC","$407,706,974 @ $8,799.56",8799.56
2020-04-21 21:57:44+00:00,772.0,"46,313.65746276 BTC","$318,578,234 @ $6,878.71",6878.71
2020-04-15 20:06:58+00:00,104.0,"45,541.65744952 BTC","$306,139,343 @ $6,722.18",6722.18
2020-04-13 20:14:40+00:00,1153.0,"45,437.65744952 BTC","$309,618,628 @ $6,814.14",6814.14
2020-04-12 20:29:03+00:00,127.0,"44,284.65744952 BTC","$314,838,247 @ $7,109.42",7109.42
2020-04-11 20:25:03+00:00,1116.0,"44,157.65744952 BTC","$299,767,225 @ $6,788.57",6788.57
2020-04-10 20:32:40+00:00,279.0,"43,041.65744952 BTC","$296,627,671 @ $6,891.64",6891.64
2020-04-09 20:10:42+00:00,551.0,"42,762.65744952 BTC","$309,932,662 @ $7,247.74",7247.74
2020-04-07 20:09:09+00:00,109.0,"42,211.65744952 BTC","$301,950,773 @ $7,153.26",7153.26
2020-04-05 20:19:20+00:00,256.0,"42,102.65744952 BTC","$284,977,943 @ $6,768.65",6768.65
2020-04-04 02:26:20+00:00,-1500.001,"41,846.65744952 BTC","$280,526,726 @ $6,703.68",6703.68
2020-03-30 20:17:33+00:00,130.0,"43,346.65844952 BTC","$281,563,974 @ $6,495.63",6495.63
2020-03-28 21:06:04+00:00,157.0,"43,216.65844952 BTC","$268,850,700 @ $6,221",6221.0
2020-03-22 20:16:26+00:00,472.0,"43,059.65844952 BTC","$257,491,068 @ $5,979.87",5979.87
2020-03-21 20:24:26+00:00,877.0,"42,587.65844952 BTC","$270,763,857 @ $6,357.8",6357.8
2020-03-20 20:52:07+00:00,282.0,"41,710.65844952 BTC","$252,739,837 @ $6,059.36",6059.36
2020-03-18 20:04:54+00:00,6.0,"41,428.65844952 BTC","$216,570,531 @ $5,227.55",5227.55
2020-03-17 22:53:27+00:00,2276.0,"41,422.65844952 BTC","$213,886,721 @ $5,163.52",5163.52
2020-03-14 21:43:00+00:00,3788.0,"39,146.65844952 BTC","$206,609,376 @ $5,277.83",5277.83
2020-03-12 23:05:29+00:00,648.0,"35,358.65844952 BTC","$169,774,765 @ $4,801.5",4801.5
2020-03-12 01:03:13+00:00,212.0,"34,710.65844952 BTC","$273,138,655 @ $7,869.01",7869.01
2020-03-10 20:18:26+00:00,542.0,"34,498.65844952 BTC","$276,224,999 @ $8,006.83",8006.83
2020-02-22 21:57:44+00:00,529.0,"33,956.65818652 BTC","$329,063,757 @ $9,690.7",9690.7
2020-02-20 21:10:52+00:00,609.0,"33,427.65818652 BTC","$322,230,780 @ $9,639.65",9639.65
2020-02-18 21:05:58+00:00,38.0,"32,818.65818652 BTC","$332,106,908 @ $10,119.45",10119.45
2020-02-17 21:21:46+00:00,141.0,"32,780.65818652 BTC","$316,345,105 @ $9,650.36",9650.36
2020-02-16 21:49:13+00:00,258.0,"32,639.65818652 BTC","$319,478,162 @ $9,788.04",9788.04
2020-02-15 21:04:04+00:00,107.0,"32,381.65818652 BTC","$321,172,452 @ $9,918.34",9918.34
2020-01-14 21:52:32+00:00,-3000.002,"32,274.65818652 BTC","$283,906,211 @ $8,796.57",8796.57
2019-12-19 01:31:18+00:00,-1.00679447,"35,274.66018652 BTC","$255,592,449 @ $7,245.78",7245.78
2019-12-19 00:37:51+00:00,672.0,"35,275.66698099 BTC","$256,025,296 @ $7,257.84",7257.84
2019-12-18 23:22:36+00:00,1.00397683,"34,603.66698099 BTC","$253,408,069 @ $7,323.16",7323.16
2019-12-17 22:51:36+00:00,781.0,"34,602.66300416 BTC","$228,276,549 @ $6,597.08",6597.08
2019-12-12 21:06:18+00:00,329.0,"33,821.66300416 BTC","$244,646,404 @ $7,233.42",7233.42
2019-12-10 22:34:16+00:00,50.0,"33,492.66300416 BTC","$243,883,557 @ $7,281.7",7281.7
2019-11-27 23:21:03+00:00,915.0,"33,442.6629987 BTC","$251,928,278 @ $7,533.14",7533.14
2019-11-24 18:54:49+00:00,1220.03,"32,527.6629987 BTC","$232,056,259 @ $7,134.12",7134.12
2019-11-23 00:26:07+00:00,1250.0,"31,307.6329987 BTC","$225,819,928 @ $7,212.94",7212.94
2019-10-24 20:59:57+00:00,674.0,"30,057.63298775 BTC","$224,433,105 @ $7,466.76",7466.76
2019-10-20 20:13:11+00:00,73.0,"29,383.63298775 BTC","$241,961,288 @ $8,234.56",8234.56
2019-10-18 20:36:03+00:00,83.0,"29,310.6329377 BTC","$233,065,954 @ $7,951.58",7951.58
2019-10-17 22:59:58+00:00,82.0,"29,227.6329377 BTC","$236,449,210 @ $8,089.92",8089.92
2019-10-16 22:32:10+00:00,61.0,"29,145.6329377 BTC","$233,860,384 @ $8,023.86",8023.86
2019-10-05 21:10:57+00:00,139.0,"29,084.6329377 BTC","$237,381,630 @ $8,161.75",8161.75
2019-10-04 21:48:37+00:00,103.0,"28,945.6329377 BTC","$237,685,696 @ $8,211.45",8211.45
2019-10-02 21:05:31+00:00,54.0,"28,842.6328757 BTC","$238,660,962 @ $8,274.59",8274.59
2019-10-01 20:20:53+00:00,159.0,"28,788.6328757 BTC","$240,882,979 @ $8,367.29",8367.29
2019-09-30 20:09:22+00:00,4.0,"28,629.6328757 BTC","$235,407,281 @ $8,222.5",8222.5
2019-09-29 20:10:31+00:00,231.0,"28,625.6328757 BTC","$230,120,621 @ $8,038.97",8038.97
2019-09-28 21:27:51+00:00,21.0,"28,394.6328757 BTC","$231,815,735 @ $8,164.07",8164.07
2019-09-27 20:25:24+00:00,68.0,"28,373.6328757 BTC","$231,321,462 @ $8,152.69",8152.69
2019-09-26 20:13:11+00:00,613.0,"28,305.6328757 BTC","$228,492,669 @ $8,072.34",8072.34
2019-09-25 20:17:54+00:00,957.0,"27,692.6328757 BTC","$236,302,826 @ $8,533.06",8533.06
2019-09-24 20:56:56+00:00,46.0,"26,735.6328757 BTC","$230,307,141 @ $8,614.24",8614.24
2019-09-06 03:30:05+00:00,-1000.0010000000001,"26,689.63286459 BTC","$285,137,357 @ $10,683.45",10683.45
2019-09-04 22:26:46+00:00,-786.00011,"27,689.63386459 BTC","$292,965,279 @ $10,580.32",10580.32
2019-08-30 23:34:27+00:00,1458.006154,"28,475.63396459 BTC","$273,389,229 @ $9,600.81",9600.81
2019-08-30 22:48:55+00:00,1458.006154,"27,017.62781059 BTC","$259,307,306 @ $9,597.71",9597.71
2019-08-23 16:28:27+00:00,372.0,"25,559.62165659 BTC","$266,085,801 @ $10,410.4",10410.4
2019-08-21 21:10:37+00:00,386.0,"25,187.62165659 BTC","$253,766,850 @ $10,075.06",10075.06
2019-08-20 21:55:49+00:00,5.0,"24,801.62165659 BTC","$268,038,659 @ $10,807.3",10807.3
2019-08-19 22:36:03+00:00,31.0,"24,796.62165659 BTC","$268,923,056 @ $10,845.15",10845.15
2019-08-08 04:32:23+00:00,-1200.00011,"24,765.62155659 BTC","$295,448,565 @ $11,929.79",11929.79
2019-07-28 03:23:51+00:00,86.0,"25,965.62166659 BTC","$246,784,705 @ $9,504.29",9504.29
2019-07-24 21:09:31+00:00,622.0,"25,879.62166659 BTC","$253,510,600 @ $9,795.76",9795.76
2019-07-19 20:21:22+00:00,129.0,"25,257.62166659 BTC","$265,866,428 @ $10,526.19",10526.19
2019-07-18 05:48:11+00:00,156.0,"25,128.62166659 BTC","$248,220,358 @ $9,877.99",9877.99
