Time,Amount,Balance,"Balance, USD",Price
2021-02-24 21:41:48+00:00,-2000.004862,"73,528.24326032 BTC","$3,566,959,633 @ $48,511.42",48511.42
2021-02-24 21:01:22+00:00,-1000.000932,"75,528.24812232 BTC","$3,669,506,179 @ $48,584.55",48584.55
2021-02-24 16:46:52+00:00,-1000.000932,"76,528.24905432 BTC","$3,807,223,058 @ $49,749.25",49749.25
2021-02-24 13:48:40+00:00,-500.00800599999997,"77,528.24998632 BTC","$3,833,951,840 @ $49,452.32",49452.32
2021-02-23 15:18:14+00:00,-500.00093200000003,"78,028.25799232 BTC","$3,753,046,681 @ $48,098.56",48098.56
2021-02-23 04:12:39+00:00,-250.00093199999998,"78,528.25892432 BTC","$3,915,185,798 @ $49,857.03",49857.03
2021-02-22 22:45:52+00:00,2864.0,"78,778.25985632 BTC","$4,245,417,901 @ $53,890.73",53890.73
2021-02-22 21:31:19+00:00,-500.00093200000003,"75,914.25985632 BTC","$4,136,836,496 @ $54,493.54",54493.54
2021-02-22 20:21:23+00:00,501.0,"76,414.26078832 BTC","$4,147,813,688 @ $54,280.62",54280.62
2021-02-22 15:17:33+00:00,2001.0,"75,913.26078832 BTC","$4,059,736,899 @ $53,478.63",53478.63
2021-02-22 02:37:01+00:00,-250.00093199999998,"73,912.26078832 BTC","$4,186,612,918 @ $56,643.01",56643.01
2021-02-21 20:10:09+00:00,7900.0,"74,162.26172032 BTC","$4,305,537,807 @ $58,055.64",58055.64
2021-02-21 19:56:54+00:00,10001.0,"66,262.26172032 BTC","$3,846,898,226 @ $58,055.64",58055.64
2021-02-21 04:02:41+00:00,4501.0,"56,261.26172032 BTC","$3,175,806,675 @ $56,447.48",56447.48
2021-02-19 23:10:39+00:00,-1000.000932,"51,760.26172032 BTC","$2,883,680,108 @ $55,712.24",55712.24
2021-02-19 22:37:44+00:00,999.1389999999999,"52,760.26265232 BTC","$2,939,392,400 @ $55,712.24",55712.24
2021-02-17 19:02:00+00:00,151.0,"51,761.12365232 BTC","$2,677,204,505 @ $51,722.3",51722.3
2021-02-16 13:16:48+00:00,-500.00093200000003,"51,610.12365232 BTC","$2,533,188,879 @ $49,083.18",49083.18
2021-02-15 04:56:17+00:00,-500.006434,"52,110.12458432 BTC","$2,437,307,459 @ $46,772.24",46772.24
2021-02-15 04:49:38+00:00,-1250.001864,"52,610.13101832 BTC","$2,460,693,882 @ $46,772.24",46772.24
2021-02-13 16:34:37+00:00,251.0,"53,860.13287685 BTC","$2,536,378,573 @ $47,091.95",47091.95
2021-02-12 21:38:14+00:00,-1000.000932,"53,609.13287685 BTC","$2,565,074,201 @ $47,847.71",47847.71
2021-02-12 17:22:11+00:00,251.0,"54,609.13380885 BTC","$2,599,787,858 @ $47,607.2",47607.2
2021-02-12 15:59:23+00:00,151.0,"54,358.13380885 BTC","$2,578,221,749 @ $47,430.28",47430.28
2021-02-12 15:50:10+00:00,251.0,"54,207.13380885 BTC","$2,571,059,776 @ $47,430.28",47430.28
2021-02-11 18:20:57+00:00,501.0,"53,956.13380885 BTC","$2,582,111,650 @ $47,855.76",47855.76
2021-02-11 17:51:05+00:00,251.0,"53,455.13380885 BTC","$2,546,753,879 @ $47,642.83",47642.83
2021-02-10 15:55:24+00:00,1501.0,"53,204.13380885 BTC","$2,363,864,787 @ $44,430.1",44430.1
2021-02-09 22:58:27+00:00,1751.0,"51,703.13380885 BTC","$2,410,211,161 @ $46,616.35",46616.35
2021-02-09 15:55:59+00:00,-1000.0027960000001,"49,952.13380885 BTC","$2,330,898,454 @ $46,662.64",46662.64
2021-02-08 21:30:49+00:00,1001.0,"50,952.13660485 BTC","$2,272,557,577 @ $44,601.81",44601.81
2021-02-04 21:28:07+00:00,-1000.000932,"49,951.13660485 BTC","$1,867,391,587 @ $37,384.37",37384.37
2021-02-04 21:18:21+00:00,-2000.0025039999998,"50,951.13753685 BTC","$1,904,775,988 @ $37,384.37",37384.37
2021-02-04 17:39:41+00:00,-500.00186399999996,"52,951.14004085 BTC","$1,965,963,551 @ $37,127.88",37127.88
2021-02-04 14:59:42+00:00,1990.0,"53,451.14190485 BTC","$1,959,397,543 @ $36,657.73",36657.73
2021-02-04 14:36:33+00:00,2001.0,"51,461.14190485 BTC","$1,886,448,659 @ $36,657.73",36657.73
2021-02-02 00:02:14+00:00,-250.00093199999998,"49,460.14190485 BTC","$1,673,041,892 @ $33,826.06",33826.06
2021-02-01 03:46:26+00:00,-250.00093199999998,"49,710.14273685 BTC","$1,673,973,742 @ $33,674.69",33674.69
2021-01-31 17:03:11+00:00,-1000.000932,"49,960.14366885 BTC","$1,642,739,708 @ $32,881",32881.0
2021-01-30 02:37:41+00:00,1501.0,"50,960.14460085 BTC","$1,711,571,373 @ $33,586.47",33586.47
2021-01-30 02:15:41+00:00,7502.0,"49,459.14460085 BTC","$1,661,158,081 @ $33,586.47",33586.47
2021-01-28 20:15:03+00:00,-500.00093200000003,"41,957.14459538 BTC","$1,376,923,452 @ $32,817.38",32817.38
2021-01-28 16:52:09+00:00,-250.00093199999998,"42,457.14552738 BTC","$1,372,673,489 @ $32,330.8",32330.8
2021-01-28 16:28:39+00:00,1339.996272,"42,707.14645938 BTC","$1,380,756,219 @ $32,330.8",32330.8
2021-01-28 02:59:13+00:00,-150.000932,"41,367.15018738 BTC","$1,291,217,938 @ $31,213.61",31213.61
2021-01-28 02:39:31+00:00,-400.001864,"41,517.15111938 BTC","$1,295,900,008 @ $31,213.61",31213.61
2021-01-28 02:36:48+00:00,-300.001864,"41,917.15298338 BTC","$1,308,385,509 @ $31,213.61",31213.61
2021-01-27 17:17:51+00:00,-3000.008006,"42,217.15484738 BTC","$1,276,482,076 @ $30,236.1",30236.1
2021-01-27 13:23:04+00:00,-1000.000932,"45,217.16285338 BTC","$1,365,843,880 @ $30,206.32",30206.32
2021-01-27 13:09:31+00:00,-1000.000932,"46,217.16378538 BTC","$1,396,050,224 @ $30,206.32",30206.32
2021-01-27 02:28:56+00:00,1655.0,"47,217.16471738 BTC","$1,504,426,073 @ $31,861.85",31861.85
